movie_title,timestamp,input,output
Where Do We Go Now?,"00:42:42,118 --> 00:42:44,039",أنتم راقصات,ماذا ترقصن؟
Where Do We Go Now?,"00:56:52,911 --> 00:56:54,005",متزوجة؟,لا ، لا زلت صغيرة
Where Do We Go Now?,"00:58:12,932 --> 00:58:14,687",ماذا تأكلين في الصباح؟,أنا لا أفطر لأني أنام كثيراً و أستيقظ متأخرة
Where Do We Go Now?,"01:02:04,792 --> 01:02:06,113",الجو حار هنا,أجل  حار جداً
Al Hayba (S5E1),"00:21:25,960 --> 00:21:27,280",أخرجوهما,الله أكبر
Al Hayba (S5E1),"00:22:02,240 --> 00:22:04,520",لا أعرف إن كنت سأهنئك أم أعزيك,هل أقول البقية في حياتك أم مبارك ما جاءك؟
Al Hayba (S5E1),"00:34:37,960 --> 00:34:41,360",تغمدهما الله برحمته وحفظكم جميعاً,سلمتم جميعاً إن شاء الله
Al Hayba (S5E1),"00:35:00,160 --> 00:35:03,920",ماذا الآن يا معلم؟ من هو غريمنا؟,اجمعوا كبار منطقة السهل في مضافتي غداً
Al Hayba (S5E1),"00:35:33,760 --> 00:35:37,000",منى يجب أن تأكلي شيئاً,العشاء على الطاولة
Al Hayba (S5E1),"00:39:58,760 --> 00:40:00,000",أخرج ما لديك,أخرج ما لديك
West Beirut,"00:04:12,880 --> 00:04:14,760",كيف تُكتب كلمة سيد؟,تفضل سيدي
West Beirut,"00:12:45,640 --> 00:12:48,960",الله أكبر،,الله أكبر
West Beirut,"00:17:01,240 --> 00:17:05,400",ألا تفهم؟ اليوم، صارت شرقية وغربية,إنهم يمنعوننا من الدخول عد
West Beirut,"00:28:25,080 --> 00:28:28,240",تذوقي من يدي إذًا,تذوقيها
West Beirut,"00:29:38,800 --> 00:29:40,440",رياض، ماذا يحدث؟,ابقي هادئةً
West Beirut,"00:38:49,440 --> 00:38:50,880",عازوري,انزل وأخرج كلبك من هنا
West Beirut,"00:47:53,520 --> 00:47:55,680",لا تريد الشوكولاتة؟ لا أريد  لا؟,لا تريد الشوكولاتة؟ لا أريد
West Beirut,"01:02:46,720 --> 01:02:48,800",لم أستطع التنفس،,انقلبت عليه ولكمته
West Beirut,"01:05:35,000 --> 01:05:36,360",عمر,عمر
West Beirut,"01:09:11,680 --> 01:09:16,080",حربك هذه تتوقف هنا عند عتبة بابي,فليعلم الجميل وعرفات مع من يتعاملان
West Beirut,"01:20:01,360 --> 01:20:03,440",عمر محق يا طارق,دعنا ننسى أمر ذاك المكان، كفانا مصائب
West Beirut,"01:20:24,480 --> 01:20:26,080",لم تنظر إليّ هكذا؟,مي، حمالة الصدر خاصتك
West Beirut,"01:20:36,400 --> 01:20:38,400",مي ، أرجوك أريد حمالة الصدر,لا تنظر
West Beirut,"01:21:14,080 --> 01:21:14,920",طارق,هل أنت سعيدة الآن؟
West Beirut,"01:26:10,760 --> 01:26:15,120",مي، أخبريني، ما رأيك بـبيروت؟,مجنونة  مجنونة للغاية
West Beirut,"01:26:33,480 --> 01:26:36,640",الآن يمكنني أن أذهب حيثما أريد,اتفقنا؟
West Beirut,"01:36:38,240 --> 01:36:39,960",إن مت، سأكون في سلام,لكن إن فقدتكما
West Beirut,"01:38:08,320 --> 01:38:12,240",ألا يمكنك النوم؟   لا الليل هادئ جدًا,أيمكنني الجلوس معك؟
Capernaum,"00:14:34,709 --> 00:14:37,462",Its not even day fucking Lick me the bunch,Stand up bitch
Capernaum,"00:22:38,484 --> 00:22:40,152",Ms Bahia Im done,How much is it   13000
Capernaum,"00:25:09,468 --> 00:25:12,721",Removes me this red lipstick,You look like a witch in this dress
Capernaum,"00:34:23,855 --> 00:34:25,523",Im not him boy,We have the same mouth thats all
Capernaum,"00:50:31,113 --> 00:50:32,823",Breath breath,Breath Zain
Capernaum,"00:50:53,928 --> 00:50:55,930",How old are you Zain,I do not know 12 years old I think
Capernaum,"01:02:44,012 --> 01:02:45,430",Whats the matter,I look different
Capernaum,"01:04:41,337 --> 01:04:42,130",All Zain,Bye
Capernaum,"01:07:03,646 --> 01:07:04,772",Manara,Yes go up
Capernaum,"01:09:59,739 --> 01:10:01,199",Thats it  Thank you,Youre welcome
Capernaum,"01:12:44,946 --> 01:12:47,907",Ethiopian Yonas my son forgive me,For Gods sake forgive me
Capernaum,"01:15:13,219 --> 01:15:14,345",Gote,Just for this time
Capernaum,"01:16:48,856 --> 01:16:50,107",Without forgetting,Its not better that a shawarma sandwich
Capernaum,"01:18:00,427 --> 01:18:01,554",Its good,Savor my great savor
Capernaum,"01:19:17,129 --> 01:19:19,131",After you Mr Yonas,Go ahead
Capernaum,"01:23:58,535 --> 01:23:59,953",Arise,What are you looking at  Arise
Capernaum,"01:28:08,743 --> 01:28:10,120",Go away,I see you approaching I am not blind
Capernaum,"01:38:05,923 --> 01:38:08,342",Its good you can go,I told you that I will take care of him
Capernaum,"01:47:41,040 --> 01:47:44,001",The Syrian Hussein,The Egyptian Mohammad
The Kite,"00:02:56,623 --> 00:02:58,806",هل أنت جاهز ؟ نعم,هيا بنا
The Kite,"00:05:21,127 --> 00:05:23,017",أعطنى الخيط,أمسك البكرة جيداً
The Kite,"00:06:00,426 --> 00:06:02,598",إننا نفقدها,ثق بى
The Kite,"00:24:23,023 --> 00:24:25,165",ضع البكرة أرضاً,أمسك
The Kite,"00:25:16,411 --> 00:25:18,590",أسحبها من الأسفل,حسناً ، أنا منخفض
The Kite,"00:27:34,051 --> 00:27:36,012",أسقطته,فـزنـــا
The Kite,"00:28:22,756 --> 00:28:24,981",أسحب الخيط,أسقطه
The Kite,"00:28:54,792 --> 00:28:56,408",أسقطناه,ربحنا ، ربحنا
The Kite,"00:33:52,225 --> 00:33:55,269",أين كنت ؟ كنت أبحث عنك,هيا بنا سيقلق السيد صاحب
The Kite,"00:34:14,036 --> 00:34:15,847",عمل رائع,تعال هنا
The Kite,"00:50:21,954 --> 00:50:24,140",لا أستطيع أن أجازى كرمك,لا شىء يستحق الشكر
The Kite,"00:51:42,536 --> 00:51:44,332",استدر وانزل,أنا معك ، هيا
The Kite,"00:54:01,273 --> 00:54:03,271",دينيس هوكين,دايمن هوبر
The Kite,"01:02:40,572 --> 01:02:43,006",كيف تشعر؟ نفس الشيء,أتتنا النتائج الخاصة بك
The Kite,"01:11:58,062 --> 01:11:59,529",ماذا ترى؟,عمري الباقي
The Kite,"01:17:56,754 --> 01:17:58,119",ما هذا؟,أنظر
The Kite,"01:18:10,334 --> 01:18:14,361",من أجل رحيم خان الذي انصت لقصصي,قبل أن أعرف كيف أكتبهم
The Kite,"01:21:41,712 --> 01:21:44,010",لقد علّم نفسه أن يقرأ ويكتب,لم يرغب بإرسال رسالة لك حتى يستطيع كتابتها بشكل سليم
The Kite,"01:37:15,878 --> 01:37:17,778",هل تريد البقاء هنا؟,كلا، ولكننا مضطرون لذلك
The Kite,"01:39:59,108 --> 01:40:03,067",،آظنني سأنتظر بالسيارة إنه شأنك الآن,شكرا لمساعدتك إياي
The Kite,"01:41:26,762 --> 01:41:27,888",اجلس,اجلس
The Kite,"01:42:39,568 --> 01:42:42,002",إنها من أفضل الأنواع التي رأيتها,اخلع العمامة
The Kite,"01:46:40,376 --> 01:46:41,400",أخرجها,أخرجها
The Kite,"01:51:19,121 --> 01:51:21,681",اخلع حذائك يا أخي العزيز,اغفر لي
The Kite,"01:58:03,592 --> 01:58:05,423",أفضل تلك الطائرة لو سمحت,وسآخذ بكرة الخيوط هذه
The Kite,"01:59:36,885 --> 01:59:38,443",الفرصة الأخيرة,سأنطلق الآن
The Kite,"02:00:35,477 --> 02:00:37,308",يبدو أن هناك أحد ما يريد المنافسة,هل أنت متأكد؟
The Kite,"02:01:22,991 --> 02:01:24,481",ها هو قادم,سنصطاده، صحيح؟
The Kite,"02:02:09,717 --> 02:02:50,117",ترجمة مـحـمـود سـعـيـد فــيــصـل كـريـم تعاون فني إيهاب التركي,تمت الترجمة في الثاني والعشرون من مارس 2008 WwWDvD4AraBcom
Zozo,"00:58:11,600 --> 00:58:16,720",من أين أنت؟ أقدر على التحدث كثيراً في السويدي,أعرف الرقص ، أعرف كيف أسأل أعرف العزف على الساكسفون
Zozo,"01:01:16,760 --> 01:01:19,479",أعطني الكرة,أعطني إياها ، أعطني الكرة، اللعنة عليك
Zozo,"01:32:05,920 --> 01:32:09,390",هل تلعب الكرة؟ طبعاً,هيا نذهب إلى رصيف السفن ولربما نجد شيئاً نأكله
Perfect Strangers,"00:05:22,583 --> 00:05:26,291",أتحرق شوقًا لرؤية وجه مي حين ترى أنني أحضرت لها لحم أرانب,نسيت هاتفي آسفة لحظة
Perfect Strangers,"00:49:41,208 --> 00:49:43,208",أصبح قميصي لزجًا عليّ,سأذهب وأبدّله  اذهب وبدّله
Perfect Strangers,"01:02:36,833 --> 01:02:38,916",لكنك قلت إننا سنخبر بعضنا كل شيء,بالطبع كل شيء مهم وله علاقة بنا وبحياتنا
Perfect Strangers,"01:16:56,041 --> 01:16:56,916",هاتف,هاتفك
Perfect Strangers,"01:17:04,208 --> 01:17:05,041",موريس,مرحبًا  على مكبر الصوت
Perfect Strangers,"01:20:04,333 --> 01:20:05,208",هل أنت بخير؟,نعم، أنا بخير
Perfect Strangers,"01:29:43,458 --> 01:29:44,458",اتصلت أمك,أخبرتها أنها ستصبح جدة وكانت سعيدة جدًا
Very Big Shot,"00:01:27,583 --> 00:01:28,958",إغلاق الباب,ضجيج
